data_id,university,tags,program_link,program_name,academic_level,programme_type,application_dates,fee_range,discipline,sub_discipline
3860,University at Buffalo,Double Major,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-arts-economics-and-sociology,Bachelor of Arts (Economics and Sociology),"Bachelor's Degree, double major","Full-time, 4 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$60,887.40 - S$84,496.80 (Singaporean & PR) / S$67,296.60 - S$93,391.20 (International student)",Arts & Social Sciences,Sociology
776,University of London,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/graduate-diploma-in-economics,Graduate Diploma in Economics,Postgraduate/Masters,"Full-time, 1 year",Applications are open till 1 Jun 2025 (local and international applicants),"S$13,315 to S$14,145",Arts & Social Sciences,Social Sciences
300,University of London,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-honours-economics,Bachelor of Science (Honours) in Economics,Bachelor's Degree,"Full-time, 3 years",Applications are open till 1 Jun 2025 (local and international applicants),"S$26,685 to S$42,835",Arts & Social Sciences,Social Sciences
27244,SIM Global Education,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/specialist-diploma-social-entrepreneurship-part-time,Specialist Diploma in Social Entrepreneurship (Part-Time),"Postgraduate/Masters, single major","Part-time, 6 months",Now till 31 May 2025 (for July 2025 intake),"S$17,985 (incl. GST)",Arts & Social Sciences,Social Sciences
662,University of London,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/certificate-of-higher-education-in-social-sciences,Certificate of Higher Education in Social Sciences,Certificate/Foundation,"Full-time, 1 year",Applications are open till 1 Jun 2025 (Local and Intl),"S$14,860 to S$15,990",Arts & Social Sciences,Social Sciences
28944,SIM Global Education,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/specialist-diploma-in-social-entrepreneurship-(e-learning),Specialist Diploma in Social Entrepreneurship (E-learning),"Postgraduate/Masters, single major","Part-time, 6 months",Not open for application,"S$17,985 (incl. GST)",Arts & Social Sciences,Social Sciences
3602,University at Buffalo,Double Major,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-arts-communication-and-psychology,Bachelor of Arts (Communication and Psychology),"Bachelor's Degree, double major","Full-time, 4 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$60,887.40 - S$84,496.80 (Singaporean & PR) / S$67,296.60 - S$93,391.20 (International student)",Arts & Social Sciences,Psychology
8346,University of Wollongong,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-psychological-science,Bachelor of Psychological Science,"Bachelor's Degree, single major","Full-time, 3 years",Jul 2025: 3 Feb to 14 Apr 2025,"S$46,216.00 to S$49,704.00",Arts & Social Sciences,Psychology
3805,University at Buffalo,Double Major,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-arts-economics-and-psychology,Bachelor of Arts (Economics and Psychology),"Bachelor's Degree, double major","Full-time, 4 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$60,887.40 - S$84,496.80 (Singaporean & PR) / S$67,296.60 - S$93,391.20 (International student)",Arts & Social Sciences,Psychology
4122,University at Buffalo,Double Major,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-arts-psychology-and-sociology,Bachelor of Arts (Psychology and Sociology),"Bachelor's Degree, double major","Full-time, 4 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$60,887.40 - S$84,496.80 (Singaporean & PR) / S$67,296.60 - S$93,391.20 (International student)",Arts & Social Sciences,Psychology
4172,University at Buffalo,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-arts-psychology,Bachelor of Arts (Psychology),"Bachelor's Degree, single major","Full-time, 3 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$41,627.10 - S$74,556.00 (Singaporean & PR) / S$46,008.90 - S$82,404.00 (International student)",Arts & Social Sciences,Psychology
5942,University at Buffalo,Double Degree,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-geographic-information-science-and-bachelor-of-arts-psychology,Bachelor of Science (Geographic Information Science) and Bachelor of Arts (Psychology),"Bachelor's Degree, double degree","Full-time, 4 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$64,615.20 - S$98,786.70 (Singaporean & PR) / S$71,416.80 - S$109,185.30 (International student)",Arts & Social Sciences,Psychology
5642,University at Buffalo,Double Degree,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-business-administration-bachelor-of-arts-psychology,Bachelor of Science (Business Administration) and Bachelor of Arts (Psychology),"Bachelor's Degree, double degree","Full-time, 4 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$64,615.20 - S$98,786.70 (Singaporean & PR) / S$71,416.80 - S$109,185.30 (International student)",Arts & Social Sciences,Psychology
3966,University at Buffalo,Double Major,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-arts-international-trade-and-psychology,Bachelor of Arts (International Trade and Psychology),"Bachelor's Degree, double major","Full-time, 4 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$60,887.40 - S$84,496.80 (Singaporean & PR) / S$67,296.60 - S$93,391.20 (International student)",Arts & Social Sciences,Psychology
452,University of London,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-honours-international-relations,Bachelor of Science (Honours) in International Relations,Bachelor's Degree,"Full-time, 3 years",Applications are open till 1 Jun 2025 (local and international applicants),"S$26,685 to S$42,835",Arts & Social Sciences,International Relations
414,University of London,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-honours-economics-and-politics,Bachelor of Science (Honours) in Economics and Politics,Bachelor's Degree,"Full-time, 3 years",Applications are open till 1 Jun 2025 (local and international applicants),"S$26,685 to S$42,835",Arts & Social Sciences,Politics
5412,SIM Global Education,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/diploma-in-accounting,Diploma in Accounting,"Diploma, single major","Full-time, 15 months",21 February 2025 till 08 August 2025 (For International applicants) 21 February 2025 till 15 August 2025 (For Local Applicants),"S$13,259.85 - S$15,238.20",Business,Accountancy
1085,University of London,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/master-of-science-in-professional-accountancy,Master of Science in Professional Accountancy,Postgraduate/Masters,"Part-time, 1 year",Now till 1 Sep 2025 (local applicants),"S$14,100",Business,Accountancy
17005,University of London,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/master-of-science-in-accounting-and-financial-management,Master of Science in Accounting and Financial Management,Postgraduate/Masters,"Full-time, 1.5 years",Now till 31 Aug 2025 (local applicants) | 29 Jul 2025 (international applicants),"S$41,400 to S$43,400",Business,Accountancy
26260,SIM Global Education,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/diploma-in-accounting-(e-learning),Diploma in Accounting (E-Learning),"Diploma, single major","Full-time, 15 months",TBC,"S$18,000.00 - $20,132.30",Business,Accountancy
6768,University of Birmingham,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-honours-accounting-and-finance-top-up,Bachelor of Science (Honours) Accounting and Finance (Top-up),"Bachelor's Degree, Single Major, Top-up","Full-time, 2 years",Preparatory Course - Now till 14 Apr 2025 (Local & International Applicants) | Direct Entry - Now till 19 May 2025 (Local & International Applicants),"S$39,370.80 to S$43,818.00",Business,Accountancy
21429,RMIT University,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-accounting,Bachelor of Accounting,Bachelor's Degree,"Full-time, 2 to 3 years",11 Jan - 25 Apr 2025,"S$33,484.80 to S$57,133.44",Business,Accountancy
586,University of London,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-honours-in-accounting-and-finance,Bachelor of Science (Honours) in Accounting and Finance,Bachelor's Degree,"Full-time & Part-time, (Full-time, 3 years | Part-time, 3 years)",Applications are open till 1 Jun 2025 (local and international applicants),"S$26,685 to S$42,835",Business,Accountancy
26371,SIM Global Education,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/diploma-in-banking-and-finance-(e-learning),Diploma in Banking and Finance (E-Learning),"Diploma, single major","Full-time, 15 months",TBC,"S$18,000.00 - $20,132.30",Business,Banking
5547,SIM Global Education,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/diploma-in-banking-and-finance,Diploma in Banking and Finance,"Diploma, single major","Full-time, 15 months",21 February 2025 till 08 August 2025 (For International applicants) 21 February 2025 till 15 August 2025 (For Local Applicants),"S$13,259.85 - S$15,238.20",Business,Banking
5742,University at Buffalo,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-business-administration,Bachelor of Science (Business Administration),"Bachelor's Degree, single major","Full-time, 3 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$41,627.10 - S$74,556.00 (Singaporean & PR) / S$46,008.90 - S$82,404.00 (International student)",Business,Business Administration
28541,University of Birmingham,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/master-of-business-administration-marketing,Master of Business Administration (Marketing),"Postgraduate/Masters, Single Major","Part-time, 2 years",Now till 5 May 2025 (June 2025 Intake) | Now till 4 July 2025 (Jan 2026 Intake) (Local & International applicants),"S$44,341.20 (Course fees for Jan 2026 are subject to change.)",Business,Business Administration
34940,University of Alberta,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/master-of-business-administration-(fasttrack),Master of Business Administration (FastTrack),"Postgraduate/Masters, Single Major","Full-time & Part-time, 1 year (FT) / 2 years (PT)",Now till 17 July 2025 (Sep 2025 intake) For International Applicants              Now till 31 July 2025 (Sep 2025 intake) For Local Applicants,"$ 39,240 (Singaporean / PR) $ 41,202 (International Students)",Business,Business Administration
28602,University of Birmingham,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/master-of-business-administration-international-business-and-strategy,Master of Business Administration (International Business and Strategy),"Postgraduate/Masters, Single Major","Part-time, 2 years",Now till 5 May 2025 (June 2025 Intake) | Now till 4 July 2025 (Jan 2026 Intake) (Local & International applicants),"S$44,341.20 (Course fees for Jan 2026 are subject to change.)",Business,Business Administration
5692,University at Buffalo,Double Degree,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-business-administration-and-bachelor-of-arts-sociology,Bachelor of Science (Business Administration) and Bachelor of Arts (Sociology),"Bachelor's Degree, double degree","Full-time, 4 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$64,615.20 - S$98,786.70 (Singaporean & PR) / S$71,416.80 - S$109,185.30 (International student)",Business,Business Administration
9833,University of Birmingham,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/master-of-business-administration,Master of Business Administration,"Postgraduate/Masters, Single Major","Part-time, 2 years",Now till 5 May 2025 (June 2025 Intake) | Now till 4 July 2025 (Jan 2026 Intake) (Local & International applicants),"S$44,341.20 (Course fees for Jan 2026 Intake are subject to change.)",Business,Business Administration
5592,University at Buffalo,Double Degree,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-business-administration-and-bachelor-of-arts-international-trade,Bachelor of Science (Business Administration) and Bachelor of Arts (International Trade),"Bachelor's Degree, double degree","Full-time, 4 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$64,615.20 - S$98,786.70 (Singaporean & PR) / S$71,416.80 - S$109,185.30 (International student)",Business,Business Administration
4325,University at Buffalo,Double Major,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-business-administration-and-geographic-information-science,Bachelor of Science (Business Administration and Geographic Information Science),"Bachelor's Degree, double major","Full-time, 4 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$60,887.40 - S$84,496.80 (Singaporean & PR) / S$67,296.60 - S$93,391.20 (International student)",Business,Business Administration
4274,University at Buffalo,Double Degree,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-business-administration-and-bachelor-of-arts-communication,Bachelor of Science (Business Administration) and Bachelor of Arts (Communication),"Bachelor's Degree, double degree","Full-time, 4 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$64,615.20 - S$98,786.70 (Singaporean & PR) / S$71,416.80 - S$109,185.30 (International student)",Business,Business Administration
28661,University of Birmingham,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/master-of-business-administration-innovation-and-business-transformation,Master of Business Administration (Innovation and Business Transformation),"Postgraduate/Masters, Single Major","Part-time, 2 years",Now till 5 May 2025 (June 2025 Intake) | Now till 4 July 2025 (Jan 2026 Intake) (Local & International applicants),"S$44,341.20 (Course fees for Jan 2026 are subject to change.)",Business,Business Administration
5642,University at Buffalo,Double Degree,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-business-administration-bachelor-of-arts-psychology,Bachelor of Science (Business Administration) and Bachelor of Arts (Psychology),"Bachelor's Degree, double degree","Full-time, 4 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$64,615.20 - S$98,786.70 (Singaporean & PR) / S$71,416.80 - S$109,185.30 (International student)",Business,Business Administration
27244,SIM Global Education,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/specialist-diploma-social-entrepreneurship-part-time,Specialist Diploma in Social Entrepreneurship (Part-Time),"Postgraduate/Masters, single major","Part-time, 6 months",Now till 31 May 2025 (for July 2025 intake),"S$17,985 (incl. GST)",Business,Business Administration
5477,University at Buffalo,Double Degree,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-business-administration-and-bachelor-of-arts-economics,Bachelor of Science (Business Administration) and Bachelor of Arts (Economics),"Bachelor's Degree, double degree","Full-time, 4 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$64,615.20 - S$98,786.70 (Singaporean & PR) / S$71,416.80 - S$109,185.30 (International student)",Business,Business Administration
28944,SIM Global Education,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/specialist-diploma-in-social-entrepreneurship-(e-learning),Specialist Diploma in Social Entrepreneurship (E-learning),"Postgraduate/Masters, single major","Part-time, 6 months",Not open for application,"S$17,985 (incl. GST)",Business,Business Administration
262,University of London,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-honours-data-science-and-business-analytics,Bachelor of Science (Honours) in Data Science and Business Analytics,Bachelor's Degree,"Full-time, 3 years",Applications are open till 1 Jun 2025 (local and international applicants),"S$26,685 to S$42,835",Business,Business Analytics
6434,SIM Global Education,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/graduate-diploma-in-business-analytics-part-time,Graduate Diploma in Business Analytics (Part-Time),"Postgraduate/Masters, single major","Part-time, 6 Months",1 March 2025 till 20 May 2025,"S$6,147.60",Business,Business Analytics
700,University of London,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/graduate-diploma-in-business-analytics,Graduate Diploma in Business Analytics,Postgraduate/Masters,"Full-time, 1 year",Applications are open till 1 Jun 2025 (local and international applicants),"S$13,315 to S$14,145",Business,Business Analytics
19091,SIM Global Education,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/graduate-certificate-business-analytics-part-time,Graduate Certificate in Business Analytics (Part-Time),"Postgraduate/Masters, single major","Part-time, 6 Months",1 March 2025 till 20 May 2025,"S$3,073.80",Business,Business Analytics
27203,SIM Global Education,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/graduate-diploma-in-business-analytics-full-time,Graduate Diploma in Business Analytics (Full-Time),"Postgraduate/Masters, single major","Full-time, 6 Months",22 November 2024 till 09 May 2025 (For international Applicants) 22 November 2024 till 16 May 2025 (Local Applicants),"S$6,147.60 - S$6,583.60",Business,Business Analytics
36522,University of Stirling,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-arts-honours-digital-media,Bachelor of Arts (Honours) Digital Media,"Bachelor's Degree, Single Major","Full-time, 2 to 3 years","Preparatory Course - Now till 2 May 2025 (Local Applicants Only, Closed for International Applicants) | Direct Entry - Now till 2 May 2025 (Local & International Applicants)","S$52,974.00 to S$56,244.00",Business,Digital Media
776,University of London,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/graduate-diploma-in-economics,Graduate Diploma in Economics,Postgraduate/Masters,"Full-time, 1 year",Applications are open till 1 Jun 2025 (local and international applicants),"S$13,315 to S$14,145",Business,Economics
3805,University at Buffalo,Double Major,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-arts-economics-and-psychology,Bachelor of Arts (Economics and Psychology),"Bachelor's Degree, double major","Full-time, 4 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$60,887.40 - S$84,496.80 (Singaporean & PR) / S$67,296.60 - S$93,391.20 (International student)",Business,Economics
21490,RMIT University,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-business,Bachelor of Business,Bachelor's Degree,"Full-time & Part-time, (Full-time, 1.5 - 3 years | Part-time, 2 - 3 years)",11 Jan - 25 Apr 2025,"S$25,113.60 - S$57,133.44",Business,Economics
3754,University at Buffalo,Double Major,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-arts-economics-and-international-trade,Bachelor of Arts (Economics and International Trade),"Bachelor's Degree, double major","Full-time, 4 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$60,887.40 - S$84,496.80 (Singaporean & PR) / S$67,296.60 - S$93,391.20 (International student)",Business,Economics
376,University of London,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-honours-economics-and-management,Bachelor of Science (Honours) in Economics and Management,Bachelor's Degree,"Full-time, 3 years",Applications are open till 1 Jun 2025 (local and international applicants),"S$26,685 to S$42,835",Business,Economics
300,University of London,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-honours-economics,Bachelor of Science (Honours) in Economics,Bachelor's Degree,"Full-time, 3 years",Applications are open till 1 Jun 2025 (local and international applicants),"S$26,685 to S$42,835",Business,Economics
414,University of London,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-honours-economics-and-politics,Bachelor of Science (Honours) in Economics and Politics,Bachelor's Degree,"Full-time, 3 years",Applications are open till 1 Jun 2025 (local and international applicants),"S$26,685 to S$42,835",Business,Economics
3910,University at Buffalo,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-arts-economics,Bachelor of Arts (Economics),"Bachelor's Degree, single major","Full-time, 3 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$41,627.10 - S$74,556.00 (Singaporean & PR) / S$46,008.90 - S$82,404.00 (International student)",Business,Economics
